종목코드,기준일,지표,값
001230,2023-07-21,PBR,0.0742
001230,2023-07-21,PCR,0.4846
001230,2023-07-21,PER,4.1836
001230,2023-07-21,PSR,0.0296
001250,2023-07-21,PBR,0.5474
001250,2023-07-21,PCR,0.7307
001250,2023-07-21,PER,3.3265
001250,2023-07-21,PSR,0.0452
001260,2023-07-21,PBR,0.9681
001260,2023-07-21,PCR,-2.6524
001260,2023-07-21,PER,4.4247
001260,2023-07-21,PSR,0.1947
001270,2023-07-21,PBR,0.3153
001270,2023-07-21,PCR,-0.112
001270,2023-07-21,PER,4.7106
001290,2023-07-21,PBR,0.3485
001290,2023-07-21,PCR,-0.2628
001290,2023-07-21,PER,57.8056
001340,2023-07-21,PBR,1.6941
001340,2023-07-21,PCR,7.0547
001340,2023-07-21,PER,16.6626
001340,2023-07-21,PSR,1.4489
001360,2023-07-21,PBR,1.9845
001360,2023-07-21,PCR,-29.441
001360,2023-07-21,PER,-8.1409
001360,2023-07-21,PSR,4.1015
001380,2023-07-21,PBR,0.5444
001380,2023-07-21,PCR,20.2339
001380,2023-07-21,PER,
001380,2023-07-21,PSR,0.9134
001390,2023-07-21,PBR,0.2189
001390,2023-07-21,PCR,4.8901
001390,2023-07-21,PER,0.6562
001390,2023-07-21,PSR,0.0829
001420,2023-07-21,PBR,1.241
001420,2023-07-21,PCR,74.024
001420,2023-07-21,PER,-46.265
001420,2023-07-21,PSR,3.4591
001430,2023-07-21,PBR,0.5238
001430,2023-07-21,PCR,8.5647
001430,2023-07-21,PER,9.3293
001430,2023-07-21,PSR,0.2331
001440,2023-07-21,PBR,1.8915
001440,2023-07-21,PCR,-36.1114
001440,2023-07-21,PER,77.6479
001440,2023-07-21,PSR,0.6448
001450,2023-07-21,PBR,0.4996
001450,2023-07-21,PCR,1.6175
001450,2023-07-21,PER,5.6266
001460,2023-07-21,PBR,0.5062
001460,2023-07-21,PCR,25.9528
001460,2023-07-21,PER,7.3106
001460,2023-07-21,PSR,1.5231
001470,2023-07-21,PBR,3.8426
001470,2023-07-21,PCR,-9.2282
001470,2023-07-21,PER,-11.658
001470,2023-07-21,PSR,1.5799
001500,2023-07-21,PBR,0.2171
001500,2023-07-21,PCR,-0.5033
001500,2023-07-21,PER,3.5005
001510,2023-07-21,PBR,0.483
001510,2023-07-21,PCR,0.9588
001510,2023-07-21,PER,48.7359
001520,2023-07-21,PBR,0.3043
001520,2023-07-21,PCR,-118.1485
001520,2023-07-21,PER,9.9284
001520,2023-07-21,PSR,0.2924
001530,2023-07-21,PBR,1.0316
001530,2023-07-21,PCR,8.5977
001530,2023-07-21,PER,14.5135
001530,2023-07-21,PSR,0.7189
001540,2023-07-21,PBR,0.7085
001540,2023-07-21,PCR,14.4684
001540,2023-07-21,PER,12.9182
001540,2023-07-21,PSR,0.5085
001550,2023-07-21,PBR,1.3016
001550,2023-07-21,PCR,-9.8393
001550,2023-07-21,PER,-52.4762
001550,2023-07-21,PSR,0.5459
001560,2023-07-21,PBR,0.8367
001560,2023-07-21,PCR,14.4182
001560,2023-07-21,PER,37.7619
001560,2023-07-21,PSR,0.9624
001570,2023-07-21,PBR,52.4571
001570,2023-07-21,PCR,252.8584
001570,2023-07-21,PER,-208.3672
001570,2023-07-21,PSR,36.141
001620,2023-07-21,PBR,0.3968
001620,2023-07-21,PCR,2.8743
001620,2023-07-21,PER,7.0978
001620,2023-07-21,PSR,0.1076
001630,2023-07-21,PBR,0.2953
001630,2023-07-21,PCR,-10.0943
001630,2023-07-21,PER,-21.763
001630,2023-07-21,PSR,0.2678
001680,2023-07-21,PBR,0.4523
001680,2023-07-21,PCR,8.2217
001680,2023-07-21,PER,8.911
001680,2023-07-21,PSR,0.1456
001720,2023-07-21,PBR,0.357
001720,2023-07-21,PCR,1.0067
001720,2023-07-21,PER,4.9988
001740,2023-07-21,PBR,0.5684
001740,2023-07-21,PCR,-2.2361
001740,2023-07-21,PER,20.8559
001740,2023-07-21,PSR,0.1447
001750,2023-07-21,PBR,0.2372
001750,2023-07-21,PCR,-0.0692
001750,2023-07-21,PER,5.3362
001770,2023-07-21,PBR,0.6357
001770,2023-07-21,PCR,16.5287
001770,2023-07-21,PER,3.4135
001770,2023-07-21,PSR,0.2591
001780,2023-07-21,PBR,1.1977
001780,2023-07-21,PCR,7.2736
001780,2023-07-21,PER,18.7812
001780,2023-07-21,PSR,0.593
001790,2023-07-21,PBR,0.5351
001790,2023-07-21,PCR,9.9803
001790,2023-07-21,PER,6.9132
001790,2023-07-21,PSR,0.2066
001800,2023-07-21,PBR,0.2145
001800,2023-07-21,PCR,2.0042
001800,2023-07-21,PER,2.7518
001800,2023-07-21,PSR,0.3041
001810,2023-07-21,PBR,0.2328
001810,2023-07-21,PCR,-2.7453
001810,2023-07-21,PER,-4.0159
001810,2023-07-21,PSR,0.3131
001820,2023-07-21,PBR,2.0076
001820,2023-07-21,PCR,8.7612
001820,2023-07-21,PER,16.0991
001820,2023-07-21,PSR,1.7132
001840,2023-07-21,PBR,2.1214
001840,2023-07-21,PCR,-5.9665
001840,2023-07-21,PER,190.9276
001840,2023-07-21,PSR,0.5553
001880,2023-07-21,PBR,0.2929
001880,2023-07-21,PCR,10.0235
001880,2023-07-21,PER,4.7402
001880,2023-07-21,PSR,0.1346
001940,2023-07-21,PBR,0.1918
001940,2023-07-21,PCR,2.9871
001940,2023-07-21,PER,2.461
001940,2023-07-21,PSR,0.155
002020,2023-07-21,PBR,0.2027
002020,2023-07-21,PCR,3.8529
002020,2023-07-21,PER,1.6615
002020,2023-07-21,PSR,0.0409
002030,2023-07-21,PBR,0.1806
002030,2023-07-21,PCR,1.347
002030,2023-07-21,PER,1.9997
002030,2023-07-21,PSR,0.1565
002070,2023-07-21,PBR,0.4559
002070,2023-07-21,PCR,15.0306
002070,2023-07-21,PER,-4.8976
002070,2023-07-21,PSR,0.2009
002100,2023-07-21,PBR,0.8001
002100,2023-07-21,PCR,213.577
002100,2023-07-21,PER,7.9103
002100,2023-07-21,PSR,0.5723
002140,2023-07-21,PBR,0.9894
002140,2023-07-21,PCR,-5.3303
002140,2023-07-21,PER,-171.4583
002140,2023-07-21,PSR,0.351
002150,2023-07-21,PBR,1.0825
002150,2023-07-21,PCR,54.4609
002150,2023-07-21,PER,144.3215
002150,2023-07-21,PSR,0.5107
002170,2023-07-21,PBR,0.3625
002170,2023-07-21,PCR,13.844
002170,2023-07-21,PER,7.0186
002170,2023-07-21,PSR,0.8402
002200,2023-07-21,PBR,0.434
002200,2023-07-21,PCR,4.3453
002200,2023-07-21,PER,6.4946
002200,2023-07-21,PSR,0.3601
002210,2023-07-21,PBR,3.643
002210,2023-07-21,PCR,-37.5357
