일자,기준금리,CPI,실업률,환율
2022-02-28,1.25,3.6,3.6,1197.589966
2022-03-02,1.25,3.6,3.6,1205.369995
2022-03-03,1.25,3.6,3.6,1203.150024
2022-03-04,1.25,3.7,3.6,1205.98999
2022-03-07,1.25,3.7,3.6,1216.709961
2022-03-08,1.25,3.7,3.6,1232.300049
2022-03-10,1.25,3.7,3.6,1223.22998
2022-03-11,1.25,3.7,3.6,1228.599976
2022-03-14,1.25,3.7,3.6,1236.890015
2022-03-15,1.25,3.7,3.6,1242.050049
2022-03-16,1.25,3.7,2.7,1241.680054
2022-03-17,1.25,3.7,2.7,1223
2022-03-18,1.25,3.7,2.7,1210.329956
2022-03-21,1.25,3.7,2.7,1210.369995
2022-03-22,1.25,3.7,2.7,1219.780029
2022-03-23,1.25,3.7,2.7,1214.949951
2022-03-24,1.25,3.7,2.7,1218.01001
2022-03-25,1.25,3.7,2.7,1217.550049
2022-03-28,1.25,3.7,2.7,1224.380005
2022-03-29,1.25,3.7,2.7,1223.660034
2022-03-30,1.25,3.7,2.7,1209.130005
2022-03-31,1.25,3.7,2.7,1210.439941
2022-04-01,1.25,3.7,2.7,1214.5
2022-04-04,1.25,3.7,2.7,1218.780029
2022-04-05,1.25,4.1,2.7,1213.900024
2022-04-06,1.25,4.1,2.7,1218.75
2022-04-07,1.25,4.1,2.7,1217.599976
2022-04-08,1.25,4.1,2.7,1222.660034
2022-04-11,1.25,4.1,2.7,1228.23999
2022-04-12,1.25,4.1,2.7,1235.050049
2022-04-13,1.25,4.1,2.7,1228.599976
2022-04-14,1.5,4.1,2.7,1223.119995
2022-04-15,1.5,4.1,2.7,1230.099976
2022-04-18,1.5,4.1,2.7,1228.089966
2022-04-19,1.5,4.1,2.7,1235.349976
2022-04-20,1.5,4.1,2.7,1239.599976
2022-04-21,1.5,4.1,2.7,1234.089966
2022-04-22,1.5,4.1,2.7,1242.48999
2022-04-25,1.5,4.1,2.7,1243.160034
2022-04-26,1.5,4.1,2.7,1249.209961
2022-04-27,1.5,4.1,2.7,1260.709961
2022-04-28,1.5,4.1,2.7,1266.280029
2022-04-29,1.5,4.1,2.7,1272.290039
2022-05-02,1.5,4.1,2.7,1262.530029
2022-05-03,1.5,4.8,2.7,1266.75
2022-05-04,1.5,4.8,2.7,1261.060059
2022-05-06,1.5,4.8,2.7,1268.699951
2022-05-09,1.5,4.8,2.7,1270.130005
2022-05-10,1.5,4.8,2.7,1274.859985
2022-05-11,1.5,4.8,2.7,1276.550049
2022-05-12,1.5,4.8,2.7,1278.150024
2022-05-13,1.5,4.8,2.7,1290.75
2022-05-16,1.5,4.8,2.7,1277.569946
2022-05-17,1.5,4.8,2.7,1279.849976
2022-05-18,1.5,4.8,2.7,1266.660034
2022-05-19,1.5,4.8,2.7,1275.579956
2022-05-20,1.5,4.8,2.7,1263.550049
2022-05-23,1.5,4.8,2.7,1273.209961
2022-05-24,1.5,4.8,2.7,1258.819946
2022-05-25,1.5,4.8,2.7,1260.98999
2022-05-26,1.75,4.8,2.7,1266.599976
2022-05-27,1.75,4.8,2.7,1258.890015
2022-05-30,1.75,4.8,2.7,1251.589966
2022-05-31,1.75,4.8,2.7,1236.170044
2022-06-02,1.75,4.8,2.7,1246.949951
2022-06-03,1.75,5.4,2.7,1240.839966
2022-06-07,1.75,5.4,2.7,1254.47998
2022-06-08,1.75,5.4,2.7,1254.579956
2022-06-09,1.75,5.4,2.7,1256.73999
2022-06-10,1.75,5.4,2.7,1264.02002
2022-06-13,1.75,5.4,2.7,1278.280029
2022-06-14,1.75,5.4,2.7,1291.800049
2022-06-15,1.75,5.4,2.8,1289.47998
2022-06-16,1.75,5.4,2.8,1278.160034
2022-06-17,1.75,5.4,2.8,1288.180054
2022-06-20,1.75,5.4,2.8,1290.5
2022-06-21,1.75,5.4,2.8,1292.380005
2022-06-22,1.75,5.4,2.8,1291.599976
2022-06-23,1.75,5.4,2.8,1297.680054
2022-06-24,1.75,5.4,2.8,1299.810059
2022-06-27,1.75,5.4,2.8,1288.290039
2022-06-28,1.75,5.4,2.8,1286.199951
2022-06-29,1.75,5.4,2.8,1292.030029
2022-06-30,1.75,5.4,2.8,1301.72998
2022-07-01,1.75,5.4,2.8,1287.709961
2022-07-04,1.75,5.4,2.8,1297.890015
2022-07-05,1.75,6,2.8,1295.680054
2022-07-06,1.75,6,2.8,1308.660034
2022-07-07,1.75,6,2.8,1304.849976
2022-07-08,1.75,6,2.8,1297.650024
2022-07-11,1.75,6,2.8,1293.790039
2022-07-12,1.75,6,2.8,1310.859985
2022-07-13,2.25,6,2.9,1305.829956
2022-07-14,2.25,6,2.9,1304.849976
2022-07-15,2.25,6,2.9,1316.180054
2022-07-18,2.25,6,2.9,1318.119995
2022-07-19,2.25,6,2.9,1318.910034
2022-07-20,2.25,6,2.9,1305.5
2022-07-21,2.25,6,2.9,1312.869995
2022-07-22,2.25,6,2.9,1306.849976
2022-07-25,2.25,6,2.9,1309.319946
2022-07-26,2.25,6,2.9,1310.400024
2022-07-27,2.25,6,2.9,1310.900024
2022-07-28,2.25,6,2.9,1305.949951
2022-07-29,2.25,6,2.9,1295.150024
2022-08-01,2.25,6,2.9,1302.280029
2022-08-02,2.25,6.3,2.9,1306.75
2022-08-03,2.25,6.3,2.9,1314.630005
2022-08-04,2.25,6.3,2.9,1307.380005
2022-08-05,2.25,6.3,2.9,1302.079956
2022-08-08,2.25,6.3,2.9,1302.73999
2022-08-09,2.25,6.3,2.9,1299.030029
2022-08-10,2.25,6.3,2.9,1307.560059
2022-08-11,2.25,6.3,2.9,1296.699951
2022-08-12,2.25,6.3,2.9,1306.829956
2022-08-16,2.25,6.3,2.9,1313.180054
